No.;Time;Source;Destination;Protocol;Length;Info;;;;;;;;;;Time 2;Time 1;delay;delay 2;delay 1;jitter
303;138.708.334;64.233.188.188;192.168.100.5;TCP;66;[TCP Keep-Alive ACK] 5228  >  51522 [ACK] Seq=1 Ack=2 Win=65535 Len=0 SLE=1 SRE=2;;;;;;;;;;138.777.882;138.708.334;69.548;8.198.510;-8.128.962;16.327.472
321;138.777.882;192.168.100.5;157.240.217.60;TLSv1.2;85;Application Data;;;;;;;;;;146.976.392;138.777.882;8.198.510;257.236;7.941.274;-7.684.038
323;146.976.392;157.240.217.60;192.168.100.5;TLSv1.2;92;Application Data;;;;;;;;;;147.233.628;146.976.392;257.236;192.256;64.980;127.276
324;147.233.628;192.168.100.5;157.240.217.60;TCP;54;51527  >  443 [ACK] Seq=187 Ack=591 Win=258 Len=0;;;;;;;;;;147.425.884;147.233.628;192.256;1.940.422;-1.748.166;3.688.588
331;147.425.884;157.240.217.60;192.168.100.5;TCP;1446;443  >  51527 [ACK] Seq=591 Ack=187 Win=122 Len=1392 [TCP segment of a reassembled PDU];;;;;;;;;;149.366.306;147.425.884;1.940.422;26.586;1.913.836;-1.887.250
332;149.366.306;157.240.217.60;192.168.100.5;TLSv1.2;1446;Application Data [TCP segment of a reassembled PDU];;;;;;;;;;149.392.892;149.366.306;26.586;155;26.431;-26.276
333;149.392.892;192.168.100.5;157.240.217.60;TCP;54;51527  >  443 [ACK] Seq=187 Ack=3375 Win=261 Len=0;;;;;;;;;;149.393.047;149.392.892;155;46.328;-46.173;92.501
334;149.393.047;157.240.217.60;192.168.100.5;TLSv1.2;652;Application Data;;;;;;;;;;149.439.375;149.393.047;46.328;196.655;-150.327;346.982
335;149.439.375;192.168.100.5;157.240.217.60;TCP;54;51527  >  443 [ACK] Seq=187 Ack=3973 Win=258 Len=0;;;;;;;;;;149.636.030;149.439.375;196.655;;196.655;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;total delay;149.636.030;;total jitter;142.894.789
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;rata2 delay;444023,8279;;rata2 jitter;424.020
